bucket,mean_price,train_bias,significant,fee,gross_edge,net_edge,side,trade
0,0.031548170527022495,-0.005566297415240018,True,0.0021387018424394283,0.005566297415240018,0.00342759557280059,no,True
1,0.14158495062989443,-0.02020258767449779,True,0.008507705666951736,0.02020258767449779,0.011694882007546053,no,True
2,0.24317808219178083,-0.027793466807165438,True,0.012882975177331583,0.027793466807165438,0.014910491629833855,no,True
3,0.3442592592592592,-0.028722943722943737,True,0.015802137517146774,0.028722943722943737,0.012920806205796963,no,True
4,0.44530096105209915,-0.023702579666160826,True,0.017290561059672322,0.023702579666160826,0.006412018606488504,no,True
5,0.5438475689881735,0.0146281208935611,False,0.01736541734856792,0.0146281208935611,-0.002737296455006819,yes,False
6,0.6454040010392309,0.014767472070667696,False,0.016020037353724835,0.014767472070667696,-0.0012525652830571391,yes,False
7,0.7461206675224646,0.01947625160462131,True,0.013259723191280751,0.01947625160462131,0.00621652841334056,yes,True
8,0.846674280493376,0.015363179534033806,True,0.009087186027108004,0.015363179534033806,0.006275993506925802,yes,True
9,0.965530063440962,-0.0031212006438784113,False,0.0023297232022857703,0.0031212006438784113,0.000791477441592641,no,False
