segment,bucket,bucket_low,bucket_high,n,n_events,mean_price,realized_freq,bias,ci_low,ci_high,wilson_low,wilson_high,bias_se,naive_se,design_effect,t_stat,p_value,q_value,significant,underpowered
1. 1.0-15.6h,0,0.0,0.2,6395,5071,0.08961767005473026,0.06645817044566067,-0.02315949960906959,0.05962969788495414,0.07392221769856894,0.06060996259287773,0.07282692036719127,0.00345894183375192,0.003091921108849604,1.1187031337416211,-6.695544684528112,2.3815272598232166e-11,2.3815272598232163e-10,True,False
1. 1.0-15.6h,1,0.2,0.4,4466,4221,0.2913166144200627,0.2360053739364084,-0.05531124048365428,0.2233577386580799,0.24855706553592266,0.22378194301483312,0.24868256792508597,0.006503400581350507,0.006294077404054813,1.0332571660400685,-8.504972097561959,2.4887223048425688e-17,4.977444609685138e-16,True,False
1. 1.0-15.6h,2,0.4,0.6000000000000001,3897,2555,0.49213754169874263,0.4680523479599692,-0.024085193738773405,0.45873674620288457,0.4781183477042127,0.45242526155733404,0.483742356986364,0.0050421797122191655,0.007901416823467566,0.6381361501197688,-4.776742423600174,1.8823757108582014e-06,1.2549171405721342e-05,True,False
1. 1.0-15.6h,3,0.6000000000000001,0.8,4249,4099,0.6928006589785832,0.7135796658037186,0.02077900682513532,0.7001620936009162,0.7271867668036276,0.6997981237884624,0.726975368140225,0.006843349821531396,0.006864878735158963,0.9968639047449878,3.036379458457294,0.002409438224510853,0.00803146074836951,True,False
1. 1.0-15.6h,4,0.8,1.0,6046,5154,0.9093284816407542,0.9093615613628846,3.307972213034045e-05,0.9015916745259268,0.9173629728389531,0.9018625934548558,0.9163406658690526,0.00386495016060147,0.0036810408069973626,1.049961237390933,0.008558900051945956,0.9931714004831338,0.9931714004831338,False,False
2. 15.6-25.0h,0,0.0,0.2,7900,3015,0.07233620253164558,0.06367088607594937,-0.008665316455696206,0.05645752181405256,0.07201753705810067,0.05849590936787783,0.06926999586719114,0.003765444489305346,0.0026895617381934712,1.4000215856113887,-2.301273191068817,0.02144411264085105,0.05361028160212763,False,False
2. 15.6-25.0h,1,0.2,0.4,4084,2834,0.29121449559255635,0.272771792360431,-0.018442703232125372,0.25601511049843795,0.28888957307060753,0.25933040180598427,0.2866402483044436,0.008186794491958011,0.0069205499197604395,1.1829687794870214,-2.2527380222188143,0.024351895025133116,0.05411532227807359,False,False
2. 15.6-25.0h,2,0.4,0.6000000000000001,3650,2240,0.4942054794520548,0.4898630136986301,-0.0043424657534246475,0.4744461240205185,0.5053976811701378,0.47366475166227673,0.5060825907350358,0.007886563764340923,0.0082079721571693,0.9608419245735818,-0.5506156905823921,0.5819520808595018,0.8313601155135739,False,False
2. 15.6-25.0h,3,0.6000000000000001,0.8,3624,2859,0.6967052980132451,0.7000551876379691,0.003349889624724062,0.6824341920286986,0.717500780093244,0.684930711093374,0.7147559941992419,0.008650811467660394,0.007554965822086341,1.1450497158267,0.3872341499114923,0.6986117033481596,0.8323205095736821,False,False
2. 15.6-25.0h,4,0.8,1.0,5871,2959,0.9251047521716915,0.9095554420030659,-0.015549310168625444,0.8990010419923555,0.9196230674855752,0.9019485011429816,0.9166267802000744,0.004856016218275035,0.0036850444719317746,1.3177632604605753,-3.202071300772736,0.0013789016206339972,0.005515606482535989,True,False
