segment,bucket,bucket_low,bucket_high,n,n_events,mean_price,realized_freq,bias,ci_low,ci_high,wilson_low,wilson_high,bias_se,naive_se,design_effect,t_stat,p_value,q_value,significant,underpowered
Crypto,0,0.0,0.2,807,198,0.02957868649318464,0.0037174721189591076,-0.025861214374225533,0.0,0.008463221901476867,0.0012650641493655128,0.010872276280917569,0.002608875825269249,0.002396740558003487,1.0885099000629728,-9.912780870494872,4.765353301634922e-19,3.3357473111444454e-18,True,False
Crypto,1,0.2,0.4,55,51,0.2796363636363636,0.12727272727272726,-0.15236363636363637,0.04836789554531493,0.2222222222222222,0.06304210427364634,0.24017027655909076,0.04573491445573289,0.04585511044544415,0.9973787874776954,-3.3314512157032694,0.0016302961746339642,0.003260592349267929,True,False
Crypto,2,0.4,0.6000000000000001,37,28,0.48945945945945935,0.5135135135135135,0.024054054054054055,0.35997435897435903,0.6756955484896661,0.358948966656188,0.6655359569698336,0.07866289324076894,0.08378746480337677,0.9388384458864627,0.3057865413166301,0.7621124784361449,,False,True
Crypto,3,0.6000000000000001,0.8,55,53,0.7045454545454546,0.8727272727272727,0.16818181818181818,0.78,0.9523809523809523,0.7598297234409093,0.9369578957263536,0.044988163688241996,0.04566831885906826,0.9851066299829163,3.738357034247517,0.00046231607065322616,0.0012944849978290332,True,False
Crypto,4,0.8,1.0,152,105,0.9202631578947368,0.8355263157894737,-0.08473684210526315,0.732866896431376,0.9187085859297899,0.7684693638513513,0.8860419630565783,0.051932686523198386,0.03234704029363873,1.6054849547830596,-1.6316668321676584,0.10577423137124371,0.12340326993311766,False,False
Economics,0,0.0,0.2,1211,177,0.03284062758051197,0.002477291494632535,-0.030363336085879437,0.0,0.005425200487459704,0.0008428525121484615,0.007258170670125634,0.0018174453673803004,0.001677036284010565,1.0837245351865332,-16.706601821899998,3.750072246749553e-38,5.250101145449374e-37,True,False
Economics,1,0.2,0.4,106,85,0.2876415094339623,0.1509433962264151,-0.13669811320754718,0.07692307692307693,0.23479539641943728,0.09509858578170281,0.2312031513356268,0.03884731431637095,0.034613959265977136,1.1223019596765655,-3.5188562095768914,0.0007024442772698162,0.0016390366469629044,True,False
Economics,2,0.4,0.6000000000000001,83,72,0.4891204819277108,0.3855421686746988,-0.10357831325301205,0.26580372121396983,0.5,0.2881115719314856,0.4930989206371591,0.058813333208309816,0.05310105226393772,1.107573780571792,-1.7611365927203957,0.08252086923642862,0.10502656084636369,False,False
Economics,3,0.6000000000000001,0.8,109,79,0.7037614678899082,0.6146788990825688,-0.08908256880733946,0.48,0.7250165929203539,0.5208956522263049,0.7006541244362352,0.06217892834153934,0.04710954500005485,1.3198796197557618,-1.4326809931175162,0.15594481414285324,0.16794056907691887,False,False
Economics,4,0.8,1.0,1234,171,0.96759886547812,0.9781199351701783,0.01052106969205836,0.9663922604035309,0.9878751011508722,0.968352594717886,0.9849197258943186,0.005491825327128049,0.004056274536340374,1.3539086858955183,1.9157691778883206,0.05707276202001216,0.08877985203113002,False,False
Politics,0,0.0,0.2,201,14,0.012398009950248756,0.0,-0.012398009950248756,0.0,0.0,0.0,0.01875332680605788,0.0019234286718863634,0.0009257531451046476,2.0776906695455386,-6.445786179369813,2.1808087432552282e-05,,False,True
Politics,1,0.2,0.4,2,2,0.245,0.0,-0.245,0.0,0.0,0.0,0.6576197724933469,0.044999999999999984,0.044999999999999984,1.0,-5.444444444444446,0.11564123680544505,,False,True
Politics,2,0.4,0.6000000000000001,1,1,0.55,1.0,0.44999999999999996,1.0,1.0,0.20654931437723745,1.0,0.0,0.0,,0.0,1.0,,False,True
Politics,3,0.6000000000000001,0.8,1,1,0.7,1.0,0.30000000000000004,1.0,1.0,0.20654931437723745,1.0,0.0,0.0,,0.0,1.0,,False,True
Politics,4,0.8,1.0,60,10,0.9885500000000002,1.0,0.011450000000000009,1.0,1.0,0.93982814785791,0.9999999999999998,0.0018632409040880004,0.0017535154359687828,1.0625745664215362,6.145206438350726,0.00016969989328138185,,False,True
Sports,0,0.0,0.2,30972,15003,0.06954691334108228,0.06044168926772569,-0.009105224073356585,0.055960209039134,0.0644391201716186,0.05784185024158686,0.06315055165338918,0.0019041476202658297,0.0013289259525782733,1.4328470420579555,-4.781784761039401,1.7539587034415685e-06,6.13885546204549e-06,True,False
Sports,1,0.2,0.4,15052,11614,0.2903733723093277,0.2634201435025246,-0.026953228806803092,0.254881298120086,0.27139874313415857,0.2564441800206785,0.2705168324554811,0.004119742481351389,0.0035617770632319387,1.1566536614206717,-6.542454759929967,6.30604286241172e-11,2.9428200024588027e-10,True,False
Sports,2,0.4,0.6000000000000001,12955,7964,0.4935229641065226,0.48683905827865687,-0.00668390582786568,0.47988673466924786,0.49420108795762885,0.4782372923691517,0.49544862692513136,0.0037577416459223644,0.004343902539142756,0.8650612236488927,-1.7787028640243487,0.07532663033582616,0.10502656084636369,False,False
Sports,3,0.6000000000000001,0.8,13261,11400,0.6953593243345148,0.7078651685393258,0.012505844204811099,0.6992030360531309,0.7168780142486534,0.7000661087251366,0.7155438340785168,0.0043072490465089425,0.003915432857167784,1.1000696994775125,2.9034411685451946,0.003697944219025282,0.006471402383294244,True,False
Sports,4,0.8,1.0,23856,15593,0.9275032696177062,0.926182092555332,-0.0013211770623742381,0.9221677274883094,0.9303061393992034,0.922795019549907,0.9294319340572291,0.0020200554088959715,0.0016576976613122535,1.2185909747238657,-0.654030110538555,0.5131020525344641,0.5131020525344641,False,False
