bucket,bucket_low,bucket_high,n,n_events,mean_price,realized_freq,bias,ci_low,ci_high,wilson_low,wilson_high,bias_se,naive_se,design_effect,t_stat,p_value,q_value,significant
0,0.0,0.1,22993,10280,0.03354538337754969,0.029574218240334016,-0.003971165137215678,0.026327421768482205,0.03306177768926002,0.027461855341631855,0.03184374370173493,0.0016010430347350453,0.0011057451835544635,1.447931276162946,-2.4803612714088357,0.01314081990505109,0.016426024881313863,True
1,0.1,0.2,10198,7582,0.14207001372818198,0.11747401451264954,-0.02459599921553246,0.11047327017182085,0.12529074483853295,0.11136835781193241,0.1238677481898667,0.0036372041710863077,0.0031825900229205044,1.142844081358813,-6.762336690102959,1.45871569087186e-11,1.4587156908718598e-10,True
2,0.2,0.30000000000000004,8119,7013,0.2430459416184259,0.2162827934474689,-0.026763148170957016,0.20690761332946453,0.22566503572937804,0.207462629971851,0.2253713083297268,0.004903600699189493,0.004560522822167159,1.0752277513785806,-5.457856341235257,4.98404076481845e-08,2.492020382409225e-07,True
3,0.30000000000000004,0.4,7096,6521,0.3443869785794814,0.314543404735062,-0.029843573844419404,0.30368461989949663,0.3258416064539734,0.3038425291943071,0.3254449675384461,0.005688441881689108,0.005503630744153314,1.0335798577570132,-5.24635294956336,1.6003119304468673e-07,5.334373101489558e-07,True
4,0.4,0.5,6682,6244,0.44488626159832395,0.42023346303501946,-0.024652798563304375,0.4082161247001627,0.43260554067399326,0.40844764727537136,0.43211094111388587,0.006186103846642441,0.006031557180245809,1.0256230127275912,-3.9851898989191534,6.819428871600852e-05,0.00013638857743201703,True
5,0.5,0.6000000000000001,6394,5613,0.5442785423834845,0.5553644041288708,0.011085861745386297,0.5438050589436932,0.5669947869410458,0.5431546158563695,0.5675077074532963,0.00593699727426567,0.0061934167153238455,0.9585980642278215,1.8672506038429122,0.06191869410209463,0.06879854900232736,False
6,0.6000000000000001,0.7000000000000001,6766,6389,0.6456724800472953,0.654300916346438,0.00862843629914276,0.6425815471070032,0.6658768297549127,0.642883887785602,0.665542832795788,0.005941098986340154,0.005776870437769514,1.028428636290145,1.4523300013989608,0.1464589829825869,0.1464589829825869,False
7,0.7000000000000001,0.8,6660,6211,0.7460510510510511,0.7621621621621621,0.016111111111111114,0.7511530142901208,0.7721236048097471,0.7517875875176867,0.7722344831721497,0.005406494064196901,0.005208041282464222,1.0381050707875301,2.979955386948957,0.0028940699084663794,0.004134385583523399,True
8,0.8,0.9,7568,6745,0.8461954281183932,0.8621828752642706,0.01598744714587738,0.8536998648181403,0.8705606277328649,0.8542327191552661,0.8697655354058926,0.0042201684153140686,0.003958806612162291,1.066020351271724,3.788343395932359,0.0001529747617431346,0.0002549579362385577,True
9,0.9,1.0,17734,10635,0.9651359535355812,0.9565805796774557,-0.008555373858125624,0.9528977791768511,0.9602107098878943,0.9534809031411637,0.9594824942144387,0.001809178790243216,0.0015061961602762927,1.2011574839703116,-4.72887141075509,2.286735938240497e-06,5.716839845601242e-06,True
